fips,county_name,state,diabetes_rate,hypertension_rate,mental_health_poor_days,preventive_screening_rate,obesity_rate,medicare_spending_per_beneficiary,median_income,poverty_rate,uninsured_rate,pct_black,pct_hispanic,total_population,equity_gap_score,equity_quartile,primary_driver
01001,Autauga,AL,12.35,40.1,17.5,66.4,39.65,12527.77,68315.0,11.28,0.47,19.56,3.17,58761.0,0.285,3.0,Hypertension
01003,Baldwin,AL,11.9,40.4,15.95,66.1,35.1,12887.13,71039.0,10.04,1.24,8.33,4.8,233420.0,0.282,3.0,Hypertension
01005,Barbour,AL,18.05,47.8,19.2,59.6,46.95,15833.86,39712.0,21.22,0.57,46.9,4.83,24877.0,0.485,4.0,Hypertension
01007,Bibb,AL,15.05,44.35,19.4,60.85,43.8,11909.65,50669.0,19.31,0.39,20.69,2.92,22251.0,0.398,4.0,Hypertension
01009,Blount,AL,12.55,38.6,18.2,63.5,36.05,13861.0,57440.0,14.01,0.59,1.23,9.68,59077.0,0.292,3.0,Hypertension
01011,Bullock,AL,22.95,54.5,20.7,55.9,51.15,12279.03,36136.0,26.02,0.43,68.91,8.78,10328.0,0.637,4.0,Diabetes
01013,Butler,AL,17.05,47.9,19.25,62.45,40.55,11568.04,44429.0,20.74,1.13,44.58,1.7,18981.0,0.472,4.0,Hypertension
01015,Calhoun,AL,13.85,43.15,18.85,62.35,38.85,13525.14,54339.0,17.45,0.93,22.06,4.08,116162.0,0.366,4.0,Hypertension
01017,Chambers,AL,16.2,45.75,19.15,62.25,41.55,12705.05,48805.0,17.57,0.85,40.78,3.26,34612.0,0.424,4.0,Hypertension
01019,Cherokee,AL,13.9,41.7,18.6,66.2,39.4,12818.81,46621.0,14.03,0.26,4.02,1.91,25069.0,0.334,3.0,Hypertension
01021,Chilton,AL,13.05,41.05,18.75,62.2,39.9,14438.31,62471.0,14.23,0.53,9.43,8.12,45140.0,0.318,3.0,Hypertension
01023,Choctaw,AL,17.55,48.45,19.05,63.35,44.45,18898.91,43299.0,18.85,0.28,39.96,1.13,12669.0,0.467,4.0,Hypertension
01025,Clarke,AL,16.65,46.5,18.85,62.85,44.05,13126.37,47549.0,22.0,0.34,45.49,1.45,23058.0,0.453,4.0,Hypertension
01027,Clay,AL,14.7,44.1,19.0,63.5,42.45,11440.37,48074.0,17.17,0.17,12.6,3.08,14209.0,0.378,4.0,Hypertension
01029,Cleburne,AL,13.15,39.95,18.9,62.05,37.25,13000.96,51553.0,12.75,0.29,2.71,2.65,15144.0,0.303,3.0,Hypertension
01031,Coffee,AL,13.75,41.5,18.2,62.75,40.9,12382.26,62199.0,16.04,1.03,16.8,8.4,53559.0,0.347,4.0,Hypertension
01033,Colbert,AL,13.55,41.45,18.1,61.45,37.45,12809.79,56149.0,15.71,0.51,16.04,3.21,57270.0,0.336,4.0,Hypertension
01035,Conecuh,AL,19.45,50.6,19.55,62.1,46.6,13099.77,39888.0,18.33,0.88,48.47,0.69,11576.0,0.518,4.0,Hypertension
01037,Coosa,AL,16.05,45.45,18.2,65.5,41.75,12707.71,52279.0,10.67,0.94,30.21,2.75,10329.0,0.388,4.0,Hypertension
01039,Covington,AL,14.55,43.0,19.0,63.8,38.0,13253.66,48772.0,18.44,1.57,12.27,2.0,37542.0,0.388,4.0,Hypertension
01041,Crenshaw,AL,15.0,43.7,18.8,63.65,40.4,13161.6,48557.0,14.51,1.26,23.17,2.54,13205.0,0.379,4.0,Hypertension
01043,Cullman,AL,12.2,39.8,18.25,60.4,36.3,14454.93,58119.0,12.87,0.78,1.09,4.59,88284.0,0.291,3.0,Hypertension
01045,Dale,AL,14.75,42.4,19.05,61.3,41.4,12846.82,52813.0,17.12,0.56,21.06,7.01,49455.0,0.371,4.0,Hypertension
01047,Dallas,AL,20.25,52.2,19.35,61.3,46.4,13120.46,37180.0,26.69,0.45,69.06,1.12,38326.0,0.578,4.0,Hypertension
01049,DeKalb,AL,14.5,42.25,19.5,56.7,38.6,12631.87,47920.0,19.88,0.95,1.46,15.38,71680.0,0.382,4.0,Hypertension
01051,Elmore,AL,12.2,39.9,17.95,63.75,38.8,11467.15,73258.0,9.11,0.77,20.84,3.12,87694.0,0.274,3.0,Hypertension
01053,Escambia,AL,17.05,46.3,20.25,59.65,43.9,14509.95,41153.0,20.27,1.6,30.3,2.56,36755.0,0.463,4.0,Hypertension
01055,Etowah,AL,14.85,43.6,18.85,59.0,43.7,15379.81,52177.0,15.62,0.78,15.21,4.41,103348.0,0.376,4.0,Hypertension
01057,Fayette,AL,14.85,44.25,19.2,62.65,40.6,13214.19,45650.0,21.74,0.6,12.73,0.37,16297.0,0.408,4.0,Hypertension
01059,Franklin,AL,15.15,42.15,19.2,58.6,42.2,14485.84,47359.0,16.39,2.99,4.25,18.41,32011.0,0.396,4.0,Hypertension
01061,Geneva,AL,14.7,42.3,19.2,58.35,42.25,12988.69,47608.0,20.57,0.7,9.28,4.45,26647.0,0.387,4.0,Hypertension
01063,Greene,AL,24.1,56.1,20.25,60.8,53.05,11800.14,32796.0,32.49,2.12,81.82,0.31,7706.0,0.715,4.0,Diabetes
01065,Hale,AL,18.0,48.55,19.2,63.25,47.7,13496.62,35851.0,24.51,0.72,56.8,0.17,14742.0,0.506,4.0,Hypertension
01067,Henry,AL,14.75,44.25,18.05,60.75,41.25,13648.79,58395.0,15.09,0.69,25.32,2.71,17282.0,0.376,4.0,Hypertension
01069,Houston,AL,14.4,42.15,18.85,63.9,40.5,14348.8,55064.0,17.64,0.54,27.25,3.59,107040.0,0.365,4.0,Hypertension
01071,Jackson,AL,14.35,42.75,19.4,62.85,39.2,13231.98,46748.0,18.4,0.58,3.29,3.2,52618.0,0.373,4.0,Hypertension
01073,Jefferson,AL,14.3,41.35,17.15,69.6,37.5,13901.91,63595.0,15.45,0.88,42.72,4.16,672265.0,0.351,4.0,Hypertension
01075,Lamar,AL,14.8,44.05,19.35,61.15,40.8,13124.89,49565.0,15.17,0.17,11.0,0.55,13885.0,0.37,4.0,Hypertension
01077,Lauderdale,AL,11.95,37.75,18.05,63.8,36.15,12634.47,56081.0,12.92,0.95,9.88,2.97,94329.0,0.274,3.0,Hypertension
01079,Lawrence,AL,14.0,41.5,19.05,61.1,39.35,12571.96,54786.0,15.65,0.35,10.18,2.5,33116.0,0.343,4.0,Hypertension
01081,Lee,AL,12.6,38.05,17.45,65.4,39.15,11025.21,59288.0,17.7,0.67,22.48,3.87,175126.0,0.307,3.0,Poverty
01083,Limestone,AL,11.7,39.0,16.75,65.15,39.3,12862.35,80146.0,10.83,0.64,13.16,6.32,104199.0,0.266,3.0,Hypertension
01085,Lowndes,AL,21.75,53.45,20.05,58.5,51.25,11296.49,33125.0,25.14,0.29,74.88,0.19,10153.0,0.604,4.0,Diabetes
01087,Macon,AL,18.85,49.5,19.25,65.85,47.9,11732.69,41206.0,21.5,1.1,78.87,2.36,19198.0,0.517,4.0,Hypertension
01089,Madison,AL,11.5,37.4,15.75,66.3,40.0,13485.68,78058.0,10.38,0.64,24.48,5.29,389781.0,0.249,2.0,Hypertension
01091,Marengo,AL,17.95,48.6,18.65,60.95,43.15,12442.86,42975.0,21.18,0.17,50.83,2.83,19180.0,0.485,4.0,Hypertension
01093,Marion,AL,13.9,42.6,19.15,59.2,42.45,13298.23,49743.0,16.12,0.78,3.81,2.71,29203.0,0.355,4.0,Hypertension
01095,Marshall,AL,13.45,39.6,18.3,62.15,37.6,12675.67,58272.0,16.33,0.67,2.8,15.06,97923.0,0.326,3.0,Hypertension
01097,Mobile,AL,15.1,41.35,17.65,65.0,39.0,14096.74,55352.0,17.24,0.78,36.26,3.04,413878.0,0.372,4.0,Diabetes
01099,Monroe,AL,17.65,48.0,19.6,62.55,43.85,12461.23,39965.0,22.57,0.53,42.31,0.22,19816.0,0.486,4.0,Hypertension
01101,Montgomery,AL,15.6,45.05,17.35,64.2,46.2,11598.47,56707.0,18.79,0.82,59.07,3.77,228132.0,0.415,4.0,Hypertension
01103,Morgan,AL,13.5,42.2,17.4,63.5,38.55,13847.87,61588.0,13.47,0.99,13.51,8.81,123102.0,0.335,3.0,Hypertension
01105,Perry,AL,22.55,54.4,20.75,60.4,53.45,11371.5,32332.0,29.23,0.0,70.81,0.97,8479.0,0.641,4.0,Diabetes
01107,Pickens,AL,16.6,45.95,18.85,62.3,48.0,12860.05,45339.0,20.42,0.74,39.66,5.22,18925.0,0.445,4.0,Hypertension
01109,Pike,AL,14.35,41.6,19.35,61.7,41.8,12663.07,42616.0,21.95,0.8,37.28,2.42,32997.0,0.383,4.0,Hypertension
01111,Randolph,AL,14.4,42.9,18.5,61.8,37.9,12637.15,49879.0,19.28,0.58,18.95,3.02,22179.0,0.379,4.0,Hypertension
01113,Russell,AL,16.3,45.2,19.2,63.75,42.85,11726.7,47420.0,21.78,0.53,44.88,5.86,58849.0,0.439,4.0,Hypertension
01115,St. Clair,AL,11.95,39.5,18.0,62.7,39.4,13995.59,73218.0,10.67,0.71,9.8,2.53,91719.0,0.274,3.0,Hypertension
01117,Shelby,AL,10.4,38.3,15.0,66.8,31.65,13898.12,90618.0,6.73,0.63,13.0,5.89,223916.0,0.22,2.0,Hypertension
01119,Sumter,AL,18.95,49.55,19.7,63.5,48.6,12687.61,31726.0,26.94,0.38,72.26,0.7,12196.0,0.538,4.0,Hypertension
01121,Talladega,AL,15.7,45.6,18.4,64.9,45.5,13559.23,52457.0,17.8,0.63,31.93,2.46,81105.0,0.414,4.0,Hypertension
01123,Tallapoosa,AL,14.75,44.65,18.0,61.25,39.55,13981.42,53282.0,16.55,0.6,26.56,2.45,41251.0,0.385,4.0,Hypertension
01125,Tuscaloosa,AL,12.2,39.85,18.2,62.15,42.1,13427.63,61645.0,15.72,0.47,32.05,4.0,231558.0,0.302,3.0,Hypertension
01127,Walker,AL,13.65,41.35,19.25,61.1,35.75,14279.36,52987.0,16.06,2.09,5.99,2.87,64978.0,0.355,4.0,Hypertension
01129,Washington,AL,15.15,44.1,18.65,62.7,41.05,14974.77,51184.0,15.65,0.4,23.38,1.69,15434.0,0.381,4.0,Hypertension
01131,Wilcox,AL,21.45,53.55,20.35,57.85,51.55,11994.24,38208.0,26.19,0.02,70.18,0.21,10441.0,0.602,4.0,Diabetes
01133,Winston,AL,14.6,43.2,19.35,60.9,39.05,13962.87,49494.0,17.83,1.36,1.11,3.25,23655.0,0.385,4.0,Hypertension
02013,Aleutians East,AK,12.85,33.5,13.0,41.6,30.25,7825.74,79961.0,12.59,3.58,5.37,11.89,3407.0,0.283,3.0,Uninsured
02016,Aleutians West,AK,11.1,31.45,13.1,48.9,31.2,6553.49,100662.0,9.16,0.86,3.85,15.37,5219.0,0.196,1.0,Uninsured
02020,Anchorage,AK,8.85,31.45,16.1,58.15,35.0,9089.0,95731.0,9.43,1.93,5.32,9.69,290674.0,0.169,1.0,Uninsured
02050,Bethel,AK,14.25,38.6,21.25,45.4,39.25,6117.74,64094.0,24.74,2.24,1.16,2.15,18538.0,0.387,4.0,Poverty
02060,Bristol Bay,AK,10.2,33.75,15.95,56.65,34.7,7485.18,94167.0,7.73,0.59,0.35,8.67,854.0,0.188,1.0,Uninsured
02063,Chugach,AK,8.8,31.55,14.75,61.05,30.9,9150.05,83068.0,4.84,2.61,1.61,5.91,7000.0,0.154,1.0,Uninsured
02066,Copper River,AK,10.15,35.25,16.0,55.4,33.35,4481.9,70606.0,11.06,5.51,0.04,6.54,2614.0,0.262,2.0,Uninsured
02068,Denali,AK,8.15,30.95,15.2,56.8,30.6,6044.51,87292.0,7.14,0.05,2.28,1.67,2101.0,0.125,1.0,Uninsured
02070,Dillingham,AK,12.75,34.15,19.25,50.5,38.5,22586.76,69412.0,15.76,3.83,1.57,3.34,4854.0,0.303,3.0,Uninsured
02090,Fairbanks North Star,AK,8.1,31.0,15.6,59.35,35.55,7531.22,81655.0,6.6,1.29,4.13,8.35,96299.0,0.134,1.0,Uninsured
02100,Haines,AK,9.25,34.3,14.4,58.65,33.65,11262.72,68276.0,5.82,1.49,0.0,8.18,2079.0,0.176,1.0,Uninsured
02105,Hoonah-Angoon,AK,12.6,38.0,16.45,56.35,36.75,11134.01,62344.0,11.55,2.88,0.39,9.88,2329.0,0.3,3.0,Uninsured
02110,Juneau,AK,8.35,30.95,15.15,58.65,34.75,8737.06,95711.0,6.78,1.38,1.07,7.16,32108.0,0.14,1.0,Uninsured
