County_Name,State,FIPS,Median_Income,Poverty_Rate_Pct,Uninsured_Rate_Pct,Pct_Black,Pct_Hispanic,Diabetes_Rate,Hypertension_Rate,Mental_Health_Poor_Days,Preventive_Screening_Rate,Medicare_Spending_Per_Beneficiary,Equity_Gap_Score,Equity_Quartile,Primary_Driver
Autauga,AL,01001,68315.0,11.28,0.47,19.56,3.17,12.35,40.1,17.5,66.4,12527.77,0.2853,3.0,Hypertension
Baldwin,AL,01003,71039.0,10.04,1.24,8.33,4.8,11.9,40.4,15.95,66.1,12887.13,0.2817,3.0,Hypertension
Barbour,AL,01005,39712.0,21.22,0.57,46.9,4.83,18.05,47.8,19.2,59.6,15833.86,0.4849,4.0,Hypertension
Bibb,AL,01007,50669.0,19.31,0.39,20.69,2.92,15.05,44.35,19.4,60.85,11909.65,0.3985,4.0,Hypertension
Blount,AL,01009,57440.0,14.01,0.59,1.23,9.68,12.55,38.6,18.2,63.5,13861.0,0.2918,3.0,Hypertension
Bullock,AL,01011,36136.0,26.02,0.43,68.91,8.78,22.95,54.5,20.700000000000003,55.9,12279.03,0.6373,4.0,Diabetes
Butler,AL,01013,44429.0,20.74,1.13,44.58,1.7,17.05,47.9,19.25,62.45,11568.04,0.472,4.0,Hypertension
Calhoun,AL,01015,54339.0,17.45,0.93,22.06,4.08,13.85,43.15,18.85,62.35,13525.14,0.3661,4.0,Hypertension
Chambers,AL,01017,48805.0,17.57,0.85,40.78,3.26,16.2,45.75,19.15,62.25,12705.05,0.4245,4.0,Hypertension
Cherokee,AL,01019,46621.0,14.03,0.26,4.02,1.91,13.9,41.7,18.6,66.2,12818.81,0.3339,3.0,Hypertension
Chilton,AL,01021,62471.0,14.23,0.53,9.43,8.12,13.05,41.05,18.75,62.2,14438.31,0.3184,3.0,Hypertension
Choctaw,AL,01023,43299.0,18.85,0.28,39.96,1.13,17.55,48.45,19.05,63.35,18898.91,0.4672,4.0,Hypertension
Clarke,AL,01025,47549.0,22.0,0.34,45.49,1.45,16.65,46.5,18.85,62.85,13126.37,0.4532,4.0,Hypertension
Clay,AL,01027,48074.0,17.17,0.17,12.6,3.08,14.7,44.1,19.0,63.5,11440.37,0.3785,4.0,Hypertension
Cleburne,AL,01029,51553.0,12.75,0.29,2.71,2.65,13.15,39.95,18.9,62.05,13000.96,0.3029,3.0,Hypertension
Coffee,AL,01031,62199.0,16.04,1.03,16.8,8.4,13.75,41.5,18.2,62.75,12382.26,0.3469,4.0,Hypertension
Colbert,AL,01033,56149.0,15.71,0.51,16.04,3.21,13.55,41.45,18.1,61.45,12809.79,0.3365,4.0,Hypertension
Conecuh,AL,01035,39888.0,18.33,0.88,48.47,0.69,19.45,50.6,19.55,62.1,13099.77,0.5184,4.0,Hypertension
Coosa,AL,01037,52279.0,10.67,0.94,30.21,2.75,16.05,45.45,18.2,65.5,12707.71,0.3884,4.0,Hypertension
Covington,AL,01039,48772.0,18.44,1.57,12.27,2.0,14.55,43.0,19.0,63.8,13253.66,0.3878,4.0,Hypertension
Crenshaw,AL,01041,48557.0,14.51,1.26,23.17,2.54,15.0,43.7,18.8,63.65,13161.6,0.3791,4.0,Hypertension
Cullman,AL,01043,58119.0,12.87,0.78,1.09,4.59,12.2,39.8,18.25,60.4,14454.93,0.2911,3.0,Hypertension
Dale,AL,01045,52813.0,17.12,0.56,21.06,7.01,14.75,42.4,19.05,61.3,12846.82,0.3707,4.0,Hypertension
Dallas,AL,01047,37180.0,26.69,0.45,69.06,1.12,20.25,52.2,19.35,61.3,13120.46,0.5783,4.0,Hypertension
DeKalb,AL,01049,47920.0,19.88,0.95,1.46,15.38,14.5,42.25,19.5,56.7,12631.87,0.3822,4.0,Hypertension
Elmore,AL,01051,73258.0,9.11,0.77,20.84,3.12,12.2,39.9,17.95,63.75,11467.15,0.2741,3.0,Hypertension
Escambia,AL,01053,41153.0,20.27,1.6,30.3,2.56,17.05,46.3,20.25,59.65,14509.95,0.4629,4.0,Hypertension
Etowah,AL,01055,52177.0,15.62,0.78,15.21,4.41,14.85,43.6,18.85,59.0,15379.81,0.3763,4.0,Hypertension
Fayette,AL,01057,45650.0,21.74,0.6,12.73,0.37,14.85,44.25,19.2,62.65,13214.19,0.4078,4.0,Hypertension
Franklin,AL,01059,47359.0,16.39,2.99,4.25,18.41,15.15,42.15,19.200000000000003,58.6,14485.84,0.3964,4.0,Hypertension
Geneva,AL,01061,47608.0,20.57,0.7,9.28,4.45,14.7,42.3,19.200000000000003,58.35,12988.69,0.3867,4.0,Hypertension
Greene,AL,01063,32796.0,32.49,2.12,81.82,0.31,24.1,56.1,20.25,60.8,11800.14,0.7153,4.0,Diabetes
Hale,AL,01065,35851.0,24.51,0.72,56.8,0.17,18.0,48.55,19.2,63.25,13496.62,0.5063,4.0,Hypertension
Henry,AL,01067,58395.0,15.09,0.69,25.32,2.71,14.75,44.25,18.05,60.75,13648.79,0.3759,4.0,Hypertension
Houston,AL,01069,55064.0,17.64,0.54,27.25,3.59,14.4,42.15,18.85,63.9,14348.8,0.3652,4.0,Hypertension
Jackson,AL,01071,46748.0,18.4,0.58,3.29,3.2,14.35,42.75,19.4,62.85,13231.98,0.3727,4.0,Hypertension
Jefferson,AL,01073,63595.0,15.45,0.88,42.72,4.16,14.3,41.35,17.15,69.6,13901.91,0.3509,4.0,Hypertension
Lamar,AL,01075,49565.0,15.17,0.17,11.0,0.55,14.8,44.05,19.35,61.15,13124.89,0.3705,4.0,Hypertension
Lauderdale,AL,01077,56081.0,12.92,0.95,9.88,2.97,11.95,37.75,18.05,63.8,12634.47,0.274,3.0,Hypertension
Lawrence,AL,01079,54786.0,15.65,0.35,10.18,2.5,14.0,41.5,19.05,61.1,12571.96,0.3426,4.0,Hypertension
Lee,AL,01081,59288.0,17.7,0.67,22.48,3.87,12.6,38.05,17.450000000000003,65.4,11025.21,0.3067,3.0,Poverty
Limestone,AL,01083,80146.0,10.83,0.64,13.16,6.32,11.7,39.0,16.75,65.15,12862.35,0.2659,3.0,Hypertension
Lowndes,AL,01085,33125.0,25.14,0.29,74.88,0.19,21.75,53.45,20.05,58.5,11296.49,0.6039,4.0,Diabetes
Macon,AL,01087,41206.0,21.5,1.1,78.87,2.36,18.85,49.5,19.25,65.85,11732.69,0.5173,4.0,Hypertension
Madison,AL,01089,78058.0,10.38,0.64,24.48,5.29,11.5,37.4,15.75,66.3,13485.68,0.2489,2.0,Hypertension
Marengo,AL,01091,42975.0,21.18,0.17,50.83,2.83,17.95,48.6,18.65,60.95,12442.86,0.4848,4.0,Hypertension
Marion,AL,01093,49743.0,16.12,0.78,3.81,2.71,13.9,42.6,19.15,59.2,13298.23,0.3553,4.0,Hypertension
Marshall,AL,01095,58272.0,16.33,0.67,2.8,15.06,13.45,39.6,18.3,62.15,12675.67,0.3259,3.0,Hypertension
Mobile,AL,01097,55352.0,17.24,0.78,36.26,3.04,15.1,41.35,17.65,65.0,14096.74,0.3718,4.0,Diabetes
Monroe,AL,01099,39965.0,22.57,0.53,42.31,0.22,17.65,48.0,19.6,62.55,12461.23,0.4855,4.0,Hypertension
Montgomery,AL,01101,56707.0,18.79,0.82,59.07,3.77,15.6,45.05,17.35,64.2,11598.47,0.4146,4.0,Hypertension
Morgan,AL,01103,61588.0,13.47,0.99,13.51,8.81,13.5,42.2,17.4,63.5,13847.87,0.3353,3.0,Hypertension
Perry,AL,01105,32332.0,29.23,0.0,70.81,0.97,22.55,54.4,20.75,60.4,11371.5,0.6406,4.0,Diabetes
Pickens,AL,01107,45339.0,20.42,0.74,39.66,5.22,16.6,45.95,18.85,62.3,12860.05,0.4449,4.0,Hypertension
Pike,AL,01109,42616.0,21.95,0.8,37.28,2.42,14.35,41.6,19.35,61.7,12663.07,0.3831,4.0,Hypertension
Randolph,AL,01111,49879.0,19.28,0.58,18.95,3.02,14.4,42.9,18.5,61.8,12637.15,0.3787,4.0,Hypertension
Russell,AL,01113,47420.0,21.78,0.53,44.88,5.86,16.3,45.2,19.200000000000003,63.75,11726.7,0.4387,4.0,Hypertension
St. Clair,AL,01115,73218.0,10.67,0.71,9.8,2.53,11.95,39.5,18.0,62.7,13995.59,0.2737,3.0,Hypertension
Shelby,AL,01117,90618.0,6.73,0.63,13.0,5.89,10.4,38.3,15.0,66.8,13898.12,0.2196,2.0,Hypertension
Sumter,AL,01119,31726.0,26.94,0.38,72.26,0.7,18.95,49.55,19.7,63.5,12687.61,0.5376,4.0,Hypertension
Talladega,AL,01121,52457.0,17.8,0.63,31.93,2.46,15.7,45.6,18.4,64.9,13559.23,0.4138,4.0,Hypertension
Tallapoosa,AL,01123,53282.0,16.55,0.6,26.56,2.45,14.75,44.65,18.0,61.25,13981.42,0.3847,4.0,Hypertension
Tuscaloosa,AL,01125,61645.0,15.72,0.47,32.05,4.0,12.2,39.85,18.2,62.15,13427.63,0.3017,3.0,Hypertension
Walker,AL,01127,52987.0,16.06,2.09,5.99,2.87,13.65,41.35,19.25,61.1,14279.36,0.3547,4.0,Hypertension
Washington,AL,01129,51184.0,15.65,0.4,23.38,1.69,15.15,44.1,18.65,62.7,14974.77,0.3813,4.0,Hypertension
Wilcox,AL,01131,38208.0,26.19,0.02,70.18,0.21,21.45,53.55,20.35,57.85,11994.24,0.6018,4.0,Diabetes
Winston,AL,01133,49494.0,17.83,1.36,1.11,3.25,14.6,43.2,19.35,60.9,13962.87,0.3852,4.0,Hypertension
Aleutians East,AK,02013,79961.0,12.59,3.58,5.37,11.89,12.85,33.5,13.0,41.6,7825.74,0.283,3.0,Uninsured
Aleutians West,AK,02016,100662.0,9.16,0.86,3.85,15.37,11.1,31.45,13.1,48.9,6553.49,0.1956,1.0,Uninsured
Anchorage,AK,02020,95731.0,9.43,1.93,5.32,9.69,8.85,31.45,16.1,58.15,9089.0,0.1694,1.0,Uninsured
Bethel,AK,02050,64094.0,24.74,2.24,1.16,2.15,14.25,38.6,21.25,45.4,6117.74,0.3871,4.0,Poverty
Bristol Bay,AK,02060,94167.0,7.73,0.59,0.35,8.67,10.2,33.75,15.950000000000001,56.65,7485.18,0.1876,1.0,Uninsured
Chugach,AK,02063,83068.0,4.84,2.61,1.61,5.91,8.8,31.55,14.75,61.05,9150.05,0.1545,1.0,Uninsured
Copper River,AK,02066,70606.0,11.06,5.51,0.04,6.54,10.15,35.25,16.0,55.4,4481.9,0.2619,2.0,Uninsured
Denali,AK,02068,87292.0,7.14,0.05,2.28,1.67,8.15,30.95,15.2,56.8,6044.51,0.1246,1.0,Uninsured
Dillingham,AK,02070,69412.0,15.76,3.83,1.57,3.34,12.75,34.15,19.25,50.5,22586.76,0.3033,3.0,Uninsured
Fairbanks North Star,AK,02090,81655.0,6.6,1.29,4.13,8.35,8.1,31.0,15.600000000000001,59.35,7531.22,0.1338,1.0,Uninsured
Haines,AK,02100,68276.0,5.82,1.49,0.0,8.18,9.25,34.3,14.4,58.65,11262.72,0.1755,1.0,Uninsured
Hoonah-Angoon,AK,02105,62344.0,11.55,2.88,0.39,9.88,12.6,38.0,16.45,56.35,11134.01,0.2995,3.0,Uninsured
Juneau,AK,02110,95711.0,6.78,1.38,1.07,7.16,8.35,30.95,15.15,58.65,8737.06,0.1395,1.0,Uninsured
