state,mean_equity_gap,mean_spending,county_count,q4_county_count
TX,0.317,14069.703,253,89
GA,0.356,12530.687,159,88
MS,0.441,14889.547,82,68
AL,0.399,13148.317,67,50
LA,0.403,14798.564,64,48
AR,0.364,12948.976,75,47
TN,0.332,12411.605,95,47
WV,0.377,11844.833,55,42
VA,0.284,11520.591,133,39
OK,0.334,14695.851,77,31
MO,0.293,12285.815,115,29
NC,0.3,11494.35,100,28
SC,0.364,12324.871,46,27
FL,0.289,13937.629,67,16
OH,0.278,12045.633,88,15
NM,0.307,10124.563,33,13
SD,0.271,11434.371,66,13
IN,0.278,12092.003,92,9
MT,0.226,10768.149,56,6
AK,0.244,10344.72,30,5
NV,0.24,10462.781,17,3
MI,0.253,10953.69,83,3
AZ,0.28,11109.444,15,3
ND,0.232,11413.911,53,3
NE,0.221,12362.042,93,3
MD,0.242,12245.581,24,3
IL,0.237,12257.079,102,2
KS,0.24,13457.701,105,2
CA,0.214,11444.617,58,1
WI,0.213,10577.907,72,1
UT,0.185,10940.384,29,1
NY,0.202,11537.985,62,1
MN,0.19,11767.299,87,1
IA,0.219,11662.581,99,1
HI,0.216,8184.5,5,1
KY,,12303.996,120,0
ID,0.213,10569.372,44,0
DE,0.262,12506.77,3,0
DC,0.153,,1,0
CT,0.156,12895.712,9,0
CO,0.17,10761.63,64,0
ME,0.22,10339.566,16,0
MA,0.15,11973.059,14,0
NJ,0.18,13320.315,21,0
NH,0.15,10417.962,10,0
OR,0.233,9552.066,36,0
PA,,11701.774,67,0
RI,0.162,11763.554,5,0
VT,0.142,9453.997,14,0
WA,0.197,10050.346,39,0
WY,0.203,10938.146,23,0
